CanteenGroup;Canteen;Price;Menu;Lundi/Monday;Mardi/Tuesday;Mercredi/Wednesday;Jeudi/Thursday;Vendredi/Friday
CIANO;BERL;0,6;Potage frais;CrŠme de lentilles vertes;Potage aux tomates;Velout‚ aux champignons;Velout‚ de cerfeuil;CrŠme de choux-fleurs
CIANO;BERL;5,3;Vari‚t‚ d'assiettes froides;Patatas bravas et chorizo, sauce ailloli piquante;Saut‚ de calamar … l'ail;Oeufs brouill‚s au saumon fum‚;Fromage de chŠvre r“ti et salade de saison;Saut‚ de boulettes de dinde,coulis de tomates … l'huile de piment
CIANO;BERL;4,7;Plat du jour viande ou poisson (en alternance);Saut‚ de boeuf … la moutarde, chou fris‚ aux lardons, pommes croquettes;Filet de lieu noir, sauce … l'estragon, riz sauvage et romanesco;Eminc‚ de porc , sauce aigre- douce, nouilles et l‚gumes chinois;"Filet de sebaste ""acqua pazza"",gnocchetti sardi et courgettes … l'huile d'olive";Poulet … la basquaise, pommes de terre saut‚es
CIANO;BOUR;4,7;Plat du jour viande ou poisson (en alternance);"Filet de bar blanc, sauce aux tomates,poˆl‚e m‚diterran‚enne, pƒtes ""mezze penne""";M‚daillon de dinde, ratatouille-gratin risoni;Caldeirada de poisson;Merguez d'agneau, couscous aux l‚gumes, sauce harissa;Filet de hoki pan‚, sauce tartare, ‚pinards et pommes pur‚e
CIANO;BERL;6;Grillades viandes (BOUR);;;;;
CIANO;BERL;4,2;Plat chaud petite restauration;;;;;
CIANO;BERL;2,5;Plat de pƒtes 1;;;;;
CIANO;BERL;4,25;Plat de pƒtes 2;;;;;
CIANO;BERL;5;Plat de pƒtes 3;;;;;
CIANO;BERL;7,85;Salad Bar;;;;;
CIANO;BOUR;0,6;Potage frais;;;;;
CIANO;BOUR;5,3;Vari‚t‚ d'assiettes froides;;;;;
CIANO;BOUR;6;Grillades viandes (BOUR);;;;;
CIANO;BOUR;4,2;Plat chaud petite restauration;;;;;
CIANO;BOUR;2,5;Plat de pƒtes 1;;;;;
CIANO;BOUR;4,25;Plat de pƒtes 2;;;;;
CIANO;BOUR;5;Plat de pƒtes 3;;;;;
CIANO;BOUR;7,85;Salad Bar;;;;;
EUREST;B-28;;;;;;;
EUREST;BREY;;;;;;;
UNIJOLY;EEAS;;;;;;;
UNIJOLY;L130;;;;;;;
